key,target_spk,interferer_spk,num_chunks,mean_local_target_interferer_si_sdr_gap,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_si_sdr_confirmed_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_si_sdr_confirmed_drift_rate,any_two_verifier_content_mismatch,any_two_verifier_si_sdr_confirmed_drift,any_tri_verifier_content_mismatch,any_tri_verifier_si_sdr_confirmed_drift,two_verifier_content_mismatch_ge20pct,two_verifier_si_sdr_confirmed_drift_ge20pct,tri_verifier_content_mismatch_ge20pct,tri_verifier_si_sdr_confirmed_drift_ge20pct
1089-134686-0008_672-122797-0007__T1__NBASIC__1089,1089,672,11,26.89689124528968,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0008_672-122797-0007__T2__NBASIC__672,672,1089,11,22.770110785519293,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,1,0,1,0,0,0,0,0
1089-134686-0015_4970-29093-0003__T1__NBASIC__1089,1089,4970,10,52.03410207499037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0015_4970-29093-0003__T2__NBASIC__4970,4970,1089,10,46.247960084607016,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0019_5142-33396-0021__T1__NBASIC__1089,1089,5142,6,45.89436737402174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0019_5142-33396-0021__T2__NBASIC__5142,5142,1089,6,39.1822844984125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0023_6829-68771-0020__T1__NBASIC__1089,1089,6829,8,36.04112158220566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0023_6829-68771-0020__T2__NBASIC__6829,6829,1089,8,38.095663721276175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0024_1995-1836-0013__T1__NBASIC__1089,1089,1995,9,33.16445307168272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0024_1995-1836-0013__T2__NBASIC__1995,1995,1089,9,36.387714170421184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0026_8224-274384-0010__T1__NBASIC__1089,1089,8224,7,27.585396918059335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0026_8224-274384-0010__T2__NBASIC__8224,8224,1089,7,32.811121858027406,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0028_6829-68771-0025__T1__NBASIC__1089,1089,6829,14,36.30883635026209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0028_6829-68771-0025__T2__NBASIC__6829,6829,1089,14,35.537246169559225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0031_61-70968-0026__T1__NBASIC__1089,1089,61,8,17.604753599277082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0031_61-70968-0026__T2__NBASIC__61,61,1089,8,-10.117630828649009,1.0,0.75,0.875,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,1
